"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 33";"961/3";"4";"0";"26/11/2025";"100,00";"167";"286,66";"0,00";"0,00";"286,66";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 34";"1140/3";"4";"0";"03/12/2025";"100,00";"160";"1.091,25";"0,00";"0,00";"1.091,25";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 41";"1668/2";"4";"0";"07/12/2025";"100,00";"156";"750,00";"0,00";"0,00";"750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 36";"1311/3";"4";"0";"16/12/2025";"100,00";"147";"1.750,00";"0,00";"0,00";"1.750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 31";"892/4";"4";"0";"21/12/2025";"100,00";"142";"1.022,50";"0,00";"0,00";"1.022,50";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 34";"1140/4";"4";"0";"03/01/2026";"100,00";"129";"1.091,25";"0,00";"0,00";"1.091,25";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 41";"1668/3";"4";"0";"07/01/2026";"100,00";"125";"750,00";"0,00";"0,00";"750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 36";"1311/4";"4";"0";"16/01/2026";"100,00";"116";"1.750,00";"0,00";"0,00";"1.750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 47";"2642/1";"3";"0";"16/01/2026";"100,00";"116";"923,34";"0,00";"0,00";"923,34";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 41";"1668/4";"4";"0";"07/02/2026";"100,00";"94";"750,00";"0,00";"0,00";"750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 47";"2642/2";"3";"0";"16/02/2026";"100,00";"85";"923,33";"0,00";"0,00";"923,33";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 52";"3034/1";"1";"0";"22/02/2026";"100,00";"79";"1.250,00";"0,00";"0,00";"1.250,00";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 47";"2642/3";"3";"0";"16/03/2026";"100,00";"57";"923,33";"0,00";"0,00";"923,33";
"L E F MADEIRAS DECOR LTDA";"NFM. 260226";"3532/2";"6";"0";"10/05/2026";"100,00";"2";"3.566,67";"0,00";"0,00";"3.566,67";
"                          Obs: CARTÃO DE CREDITO SANTANDER";
"L E F MADEIRAS DECOR LTDA";"NFM. 260226";"3532/3";"6";"0";"10/06/2026";"100,00";"0";"3.566,67";"0,00";"0,00";"3.566,67";
"                          Obs: CARTÃO DE CREDITO SANTANDER";
"L E F MADEIRAS DECOR LTDA";"NFM. 260226";"3532/4";"6";"0";"10/07/2026";"100,00";"0";"3.566,67";"0,00";"0,00";"3.566,67";
"                          Obs: CARTÃO DE CREDITO SANTANDER";
"L E F MADEIRAS DECOR LTDA";"NFM. 260226";"3532/5";"6";"0";"10/08/2026";"100,00";"0";"3.566,67";"0,00";"0,00";"3.566,67";
"                          Obs: CARTÃO DE CREDITO SANTANDER";
"L E F MADEIRAS DECOR LTDA";"NFM. 260226";"3532/6";"6";"0";"10/09/2026";"100,00";"0";"3.566,67";"0,00";"0,00";"3.566,67";
"                          Obs: CARTÃO DE CREDITO SANTANDER";
"Mmi Cunha Comercio E Ferragens Ltda";"NFM. 20422";"4135/2";"2";"0";"25/05/2026";"100,00";"0";"485,25";"0,00";"0,00";"485,25";
"Multimodulos Containers Ltda";"FAT. 4188";"3153/1";"1";"0";"20/02/2026";"100,00";"81";"6.230,00";"0,00";"0,00";"6.230,00";
"                          Obs: DETALHES DA COBRANÇA ESTÃO NA FATURA ENVIADA NO WHATS EM 29/01 PELO FRANCISCO";
"Multimodulos Containers Ltda";"NFM. 4288";"4424/1";"1";"0";"20/04/2026";"100,00";"22";"500,00";"0,00";"0,00";"500,00";
"PAULO ZIOBER - EQUIPAMENTOS METALURGICOS LTDA";"NFM. 37391";"4779/1";"3";"0";"28/05/2026";"100,00";"0";"1.170,00";"0,00";"0,00";"1.170,00";
"                          Obs: PLACAS DE IPANEMA
CARTÃO DE CREDITO CEF EMPRESA";
"PAULO ZIOBER - EQUIPAMENTOS METALURGICOS LTDA";"NFM. 37391";"4779/2";"3";"0";"28/06/2026";"100,00";"0";"1.170,00";"0,00";"0,00";"1.170,00";
"                          Obs: PLACAS DE IPANEMA
CARTÃO DE CREDITO CEF EMPRESA";
"PAULO ZIOBER - EQUIPAMENTOS METALURGICOS LTDA";"NFM. 37391";"4779/3";"3";"0";"28/07/2026";"100,00";"0";"1.170,00";"0,00";"0,00";"1.170,00";
"                          Obs: PLACAS DE IPANEMA
CARTÃO DE CREDITO CEF EMPRESA";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 924860";"4323/1";"4";"0";"06/05/2026";"100,00";"6";"1.420,67";"0,00";"0,00";"1.420,67";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 926523";"4380/1";"3";"0";"11/05/2026";"100,00";"1";"1.703,69";"0,00";"0,00";"1.703,69";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 927384";"4443/1";"4";"0";"14/05/2026";"100,00";"0";"3.103,37";"0,00";"0,00";"3.103,37";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 924860";"4323/2";"4";"0";"20/05/2026";"100,00";"0";"1.420,69";"0,00";"0,00";"1.420,69";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 924860";"4323/3";"4";"0";"03/06/2026";"100,00";"0";"1.420,69";"0,00";"0,00";"1.420,69";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 926523";"4380/2";"3";"0";"08/06/2026";"100,00";"0";"1.703,69";"0,00";"0,00";"1.703,69";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 927384";"4443/2";"4";"0";"11/06/2026";"100,00";"0";"3.103,37";"0,00";"0,00";"3.103,37";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 924860";"4323/4";"4";"0";"17/06/2026";"100,00";"0";"1.420,69";"0,00";"0,00";"1.420,69";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 926523";"4380/3";"3";"0";"06/07/2026";"100,00";"0";"1.704,19";"0,00";"0,00";"1.704,19";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 927384";"4443/3";"4";"0";"09/07/2026";"100,00";"0";"3.103,37";"0,00";"0,00";"3.103,37";
"Plenobras Distribuidora Eletrica E Hidraulica Ltda";"NFM. 927384";"4443/4";"4";"0";"06/08/2026";"100,00";"0";"3.103,35";"0,00";"0,00";"3.103,35";
"Prefeitura Municipal de Porto Alegre";"DARM. 080825";"661/1";"1";"0";"11/08/2025";"2,98";"274";"128,66";"0,00";"0,00";"128,66";
"                          Obs: ISSQN NOTAS RETIDAS PORTO ALEGRE";
"Prefeitura Municipal de Porto Alegre";"DARM. 100925";"1226/1";"1";"0";"10/09/2025";"11,29";"244";"679,75";"0,00";"0,00";"679,75";
